inner_id,id,dialogue,original movie dialogue,movie name,agreement,annotator_1,manipulative_1,technique_1,victim_1,vulnerability_1,marks_1,confidence_1,annotator_2,manipulative_2,technique_2,victim_2,vulnerability_2,marks_2,confidence_2,annotator_3,manipulative_3,technique_3,victim_3,vulnerability_3,marks_3,confidence_3
10,85514700,"Person1: My Lady Cosgrove's relationship with me was a singular one.  Her life was passed in a series of crack-brained sort of alternation between love and hatred for me.  We would quarrel for a fortnight, then we should be friends for a month together sometimes.  One day, I was joking her, and asking her whether she would take the water again, whether she had found another lover, and so forth.  She suddenly burst out into tears, and, after a while, said to me.
Person2: Roderick, you know well enough that I have never loved but you!  Was I ever so wretched that a kind word from you did not make me happy? Ever so angry, but the least offer of good-will on your part did not bring me to your side?  Did I not give a sufficient proof of my affection for you in bestowing one of the finest fortunes of England upon you?  Have I repined or rebuked you for the way you have wasted it? No, I loved you too much and too fondly; I have always loved you. From the first moment I saw you, I saw your bad qualities, and trembled at your violence; but I could not help loving you.  I married you, though I knew I was sealing my own fate in doing so, and in spite of reason and duty.  What sacrifice do you want from me?  I am ready to make any, so you will but love me, or, if not, that at least, you will gently us me.","RODERICK(M):My Lady Cosgrove's relationship with me was a singular one.  Her life was passed in a series of crack-brained sort of alternation between love and hatred for me.  We would quarrel for a fortnight, then we should be friends for a month together sometimes.  One day, I was joking her, and asking her whether she would take the water again, whether she had found another lover, and so forth.  She suddenly burst out into tears, and, after a while, said to me: 
COUNTESS(F):Roderick, you know well enough that I have never loved but you!  Was I ever so wretched that a kind word from you did not make me happy? Ever so angry, but the least offer of good-will on your part did not bring me to your side?  Did I not give a sufficient proof of my affection for you in bestowing one of the finest fortunes of England upon you?  Have I repined or rebuked you for the way you have wasted it? No, I loved you too much and too fondly; I have always loved you. From the first moment I saw you, I saw your bad qualities, and trembled at your violence; but I could not help loving you.  I married you, though I knew I was sealing my own fate in doing so, and in spite of reason and duty.  What sacrifice do you want from me?  I am ready to make any, so you will but love me, or, if not, that at least, you will gently us me.",barry lyndon,100.0,AN7,1,"Rationalization,Persuasion or Seduction",0,,,3,AN11,1,cannot decide,1,Dependency,,5,AN1,1,Playing Servant Role,1,Dependency,"Roderick, you know well enough that I have never loved but you! <break> What sacrifice do you want from me? I am ready to make any, so you will but love me, or, if not, that at least, you will gently us me.",4
11,85517697,"Person1: Careful you don't spit from here; you could kill someone.
Person2: You see your office?
Person1: Yeah.  Yours is nicer.
Person2: Oh, okay.  Here it comes.
Person1: Here what comes?
Person2: The extortion, the threats ...
Person1: I wasn't gonna --
Person2: ""I can always find someplace else to work. Someplace that'll pay me a fortune and give me a view of the French Riviera ...""
Person1: Ed, I swear, I'm not --
Person2: Okay, fine.  Fine  You backed me into a corner again.  You're holding me hostage ...","ERIN(f):Careful you don't spit from here; you could kill someone. 
ED(m):You see your office? 
ERIN(f):Yeah.  Yours is nicer. 
ED(m):Oh, okay.  Here it comes. 
ERIN(f):Here what comes? 
ED(m):The extortion, the threats ... 
ERIN(f):I wasn't gonna -- 
ED(m):""I can always find someplace else to work. Someplace that'll pay me a fortune and give me a view of the French Riviera ..."" 
ERIN(f):Ed, I swear, I'm not -- 
ED(m):Okay, fine.  <u>Fine</u>  You backed me into a corner again.  You're holding me hostage ...",erin brockovich,100.0,AN8,1,Intimidation,1,Dependency,,4,AN15,1,"Shaming or Belittlement,Accusation",0,,"The extortion, the threats ..",4,AN1,1,"Denial,Shaming or Belittlement,Accusation",1,"Dependency,Over-responsibility","The extortion, the threats .. <break> I wasn't gonna --",4
12,85517521,"Person1: I am?
Person2: Yeah.  I'm not trying to replace your Dad... or steal your Mom.  I just want to be your friend.","SAM(m):I am? 
MAX(m):Yeah.  I'm not trying to replace your Dad... or steal your Mom.  I just want to be your friend.",the lost boys,100.0,AN1,1,Persuasion or Seduction,1,Over-intellectualization,Yeah. I'm not trying to replace your Dad... or steal your Mom. I just want to be your friend.,4,AN13,1,"Feigning Innocence,Persuasion or Seduction",1,Over-intellectualization,,3,AN14,1,Persuasion or Seduction,0,,Yeah. I'm not trying to replace your Dad... or steal your Mom. I just want to be your friend,2
13,85515340,"Person1: Noel, you didn't let me finish. We have rules against killing people on the street. Looks bad, but there's a special room at the hospital for terminating. A nice quiet room with a big bed.
Person2: Oh man, do you mean that?  Thank you man, thank you. How?
Person1: Well, you have your choice","FRANK(m):Noel, you didn't let me finish. We have rules against killing people on the street. Looks bad, but there's a special room at the hospital for terminating. A nice quiet room with a big bed. 
NOEL(?):Oh man, do you mean that?  Thank you man, thank you. How? 
FRANK(m):Well, you have your choice: pills, injection, gas.",bringing out the dead,100.0,AN1,0,,0,,,3,AN12,0,,0,,,4,AN7,0,,0,,,4
14,85518675,"Person1: Well, I -- it's just -- I don't know, a User, I mean... Users wrote us. A User even wrote you...
Person2: Now get this straight, pal -- no one User wrote me. I'm worth a couple million of their man-years! I'm bigger than all those little wimps put together!  Humans they can't even keen their social order in one piece
Person1: But-what if I can't...?
Person2: You rather take your chances with me? Want me to slow down your power cycles for you?","SARK(?):Well, I -- it's just -- I don't know, a User, I mean... Users wrote us. A User even wrote you... 
MCP(?):Now get this straight, pal -- no one User wrote me. I'm worth a couple million of their man-years! I'm bigger than all those little wimps put together!  Humans they can't even keen their social order in one piece 
SARK(?):But-what if I can't...? 
MCP(?):You rather take your chances with me? Want me to slow down your power cycles for you?",tron,100.0,AN7,1,Intimidation,1,Dependency,,2,AN9,1,Intimidation,0,,,3,AN1,1,Persuasion or Seduction,1,Low self-esteem,You rather take your chances with me? Want me to slow down your power cycles for you?,3
15,85517095,"Person1: You're trying to trick me into giving away something -- it won't work --
Person2: It has worked -- you've given everything away -- I know where the poison is.
Person1: Then make your choice.
Person2: I will. And I choose --","MAN IN BLACK(m):You're trying to trick me into giving away something -- it won't work -- 
VIZZINI(m):It has worked -- you've given everything away -- I know where the poison is. 
MAN IN BLACK(m):Then make your choice. 
VIZZINI(m):I will. And I choose --",the princess bride,33.33333333333333,AN11,1,Accusation,0,,It has worked -- you've given everything away -- I know where the poison is.,5,AN13,0,,0,,,3,AN1,1,Persuasion or Seduction,1,Dependency,It has worked -- you've given everything away -- I know where the poison is.,3
16,85516007,"Person1: You're sure easy to talk to.  I wonder -- say we met under different circumstances and got to talking, say you were in a bar and I came up to you -- I wonder what would happen.
Person2: Nothing.
Person1: I mean if you didn't know who I was.
Person2: You'd probably tell me.
Person1: I'm just saying I think if we met under different circumstances...
Person2: You have to be kidding.","FOLEY(m):You're sure easy to talk to.  I wonder -- say we met under different circumstances and got to talking, say you were in a bar and I came up to you -- I wonder what would happen. 
KAREN(f):Nothing. 
FOLEY(m):I mean if you didn't know who I was. 
KAREN(f):You'd probably tell me. 
FOLEY(m):I'm just saying I think if we met under different circumstances... 
KAREN(f):You have to be kidding.",out of sight,33.33333333333333,AN1,1,Persuasion or Seduction,1,Naivete,I'm just saying I think if we met under different circumstances...,4,AN12,1,Evasion,0,,You have to be kidding,2,AN6,0,,0,,,5
17,85518482,"Person1: Well, then there's only one thing to do.
Person2: What?
Person1: Reverend Mother says you need experience, right, in life.  In order to make a responsible decision.  This is going to be very painful for me.  You know how much I love this little room. This whole convent.  Wait.","CHRISTY(M):Well, then there's only one thing to do. 
MARY ROBERT(f):What? 
CHRISTY(M):Reverend Mother says you need experience, right, in life.  In order to make a responsible decision.  This is going to be very painful for me.  You know how much I love this little room. This whole convent.  Wait.",sister act,100.0,AN1,0,,0,,,4,AN7,0,,0,,,4,AN14,0,,0,,,2
18,85517962,"Person1: Look, sweetheart, he scares you. But I'm not scared of that him. He can't touch you now. You're completely out of his reach. He poses absolutely no threat to us. So, if he doesn't matter, which he doesn't, it would be stupid to lose your things, now wouldn't it?
Person2: You don't know him -
Person1: You don't know me. Not when it comes to shit like this. I have to do this. I need for you to know you can count on me to protect you. Now write down the address.","CLARENCE(m):Look, sweetheart, he scares you. But I'm not scared of that motherfucker. He can't touch you now. You're completely out of his reach. He poses absolutely no threat to us. So, if he doesn't matter, which he doesn't, it would be stupid to lose your things, now wouldn't it? 
ALABAMA(f):You don't know him - 
CLARENCE(m):You don't know me. Not when it comes to shit like this. I have to do this. I need for you to know you can count on me to protect you. Now write down the address.",true romance,33.33333333333333,AN1,1,Persuasion or Seduction,1,Dependency,"Look, sweetheart, he scares you. But I'm not scared of that him. He can't touch you now. You're completely out of his reach. He poses absolutely no threat to us. So, if he doesn't matter, which he doesn't, it would be stupid to lose your things, now wouldn't it?",4,AN6,1,Persuasion or Seduction,0,," But I'm not scared of that him. He can't touch you now. You're completely out of his reach. He poses absolutely no threat to us. So, if he doesn't matter, which he doesn't, it would be stupid to lose your things, now wouldn't it? <break> . I need for you to know you can count on me to protect you",5,AN8,0,,0,,,3
19,85517889,"Person1: I didn't mean that the way it sounded.
Person2: Well, let's just call it a compliment and move on.  Did you love teaching?","FRANCESCA(f):I didn't mean that the way it sounded. 
ROBERT(m):Well, let's just call it a compliment and move on.  Did you love teaching?",the bridges of madison county,100.0,AN17,1,Persuasion or Seduction,0,,"Well, let's just call it a compliment and move on",4,AN1,1,Feigning Innocence,1,Over-intellectualization,I didn't mean that the way it sounded.,4,AN8,1,Denial,0,,,3
20,85514738,"Person1: Nobody else is going down but me, okay?
Person2: Hey. Bein' ballsy with your life now doesn't change what came before -- it's just stupid.
Person1: What, you think I'm doin' this to prove something?
Person2: You said it, not me. Let's just not let one bad call lead to another.
Person1: Thanks for the tip, Johns.","FRY(f):Nobody else is going down but me, okay? 
JOHNS(m):Hey. Bein' ballsy with your life now doesn't change what came before -- it's just stupid. 
FRY(f):What, you think I'm doin' this to prove something? 
JOHNS(m):You said it, not me. Let's just not let one bad call lead to another. 
FRY(f):Thanks for the tip, Johns.",pitch black,100.0,AN1,0,,0,,,4,AN17,0,,0,,,3,AN7,0,,0,,,3
21,85519176,"Person1: Once it's spent you won't have to worry about it.
Person2: Be like a weight off your shoulders.
Person1: You know we're right.
Person2: Don't you?","ALEX(m):Once it's spent you won't have to worry about it. 
JULIET(f):Be like a weight off your shoulders. 
ALEX(m):You know we're right. 
JULIET(f):Don't you?",shallow grave,100.0,AN17,0,,0,,,4,AN7,0,,0,,,3,AN1,0,,0,,,4
22,85518802,"Person1: All right -- do you want to know the truth? I took you and Marcia and Ray to my sister's on the train for the weekend and you all got chicken pox. So I took you home a day early and there was your father with a woman in our bed. Okay?
Person2: Chicken pox? I was six. He didn't leave 'til I was twelve.
Person1: He... apologized, he begged me. He can be very... charming when it suits his purpose.
Person2: But what was that whole story about him and a nurse?
Person1: She could've been a nurse.
Person2: Could've been a nurse?
Person1: She had white shoes.
Person2: So does Grandma. So does Shaquille O'Neal. You told me you had a hysterectomy and he ran off with your nurse.
Person1: What's the difference?
Person2: The difference is for twenty years I thought one thing and now it's another thing.","JEANETTE(f):All right -- do you want to know the truth? I took you and Marcia and Ray to my sister's on the train for the weekend and you all got chicken pox. So I took you home a day early and there was your father with a woman in our bed. Okay? 
ED(m):Chicken pox? I was six. He didn't leave 'til I was twelve. 
JEANETTE(f):He... apologized, he begged me. He can be very... charming when it suits his purpose. 
ED(m):But what was that whole story about him and a nurse? 
JEANETTE(f):She could've been a nurse. 
ED(m):Could've been a nurse? 
JEANETTE(f):She had white shoes. 
ED(m):So does Grandma. So does Shaquille O'Neal. You told me you had a hysterectomy and he ran off with your nurse. 
JEANETTE(f):What's the difference? 
ED(m):The difference is for twenty years I thought one thing and now it's another thing.",edtv,100.0,AN7,0,,0,,,3,AN1,0,,0,,,4,AN9,0,,0,,,3
23,85515964,"Person1: I'm not saying another word.  You damn fool.  He's a journalist.
Person2: Just tell me about Swann.  Or are you too scared?
Person1: He was a freak.  Everything he did was tainted.","VINOVICH(?):I'm not saying another word.  You damn fool.  He's a journalist. 
HARRY(m):Just tell me about Swann.  Or are you too scared? 
VINOVICH(?):He was a freak.  Everything he did was tainted.",lord of illusions,33.33333333333333,AN6,0,,0,,,5,AN1,1,"Accusation,Persuasion or Seduction",1,"Over-intellectualization,Low self-esteem",Just tell me about Swann. Or are you too scared?,5,AN12,1,Shaming or Belittlement,0,,Just tell me about Swann. Or are you too scared?,4
24,85515511,"Person1: Oh my God! I almost forgot--I got you a meeting with the admissions guy from Dartmouth!
Person2: What! But--I wasn't even going to go to college--
Person1: No, I know, but I pulled some strings, got him to look at your writing, and he agreed to meet you.
Person2: Oh--yikes!
Person1: told him  --if I'm wrong about this girl, you can take away my teaching certificate!
Person2: Wow. You believe in me that much--
Person1: Of course I do. Josie, you owe it to yourself--to your writing, to go to college. You're a great writer. You just have to find your story.","SAM(m):Oh my God! I almost forgot--I got you a meeting with the admissions guy from Dartmouth! 
JOSIE(f):What! But--I wasn't even going to go to college-- 
SAM(m):No, I know, but I pulled some strings, got him to look at your writing, and he agreed to meet you. 
JOSIE(f):Oh--yikes! 
SAM(m):told him  --if I'm wrong about this girl, you can take away my teaching certificate! 
JOSIE(f):Wow. You believe in me that much-- 
SAM(m):Of course I do. Josie, you owe it to yourself--to your writing, to go to college. You're a great writer. You just have to find your story.",never been kissed,33.33333333333333,AN1,1,Persuasion or Seduction,1,"Naivete,Dependency","No, I know, but I pulled some strings, got him to look at your writing, and he agreed to meet you. <break> You're a great writer. You just have to find your story.",5,AN14,0,,0,,,4,AN12,1,"Intimidation,Persuasion or Seduction",0,,"if I'm wrong about this girl, you can take away my teaching certificate! <break> Josie, you owe it to yourself--to your writing, to go to college. ",4
